number,title,content,url
987,"[채용][GFSK] Freight Forwarding Operation (신입, 정규직)","[GFSK] Freight Forwarding Operation (
신입, 정규직)
글로벌 프레이트 서비스(GFS)는 리 앤 펑(Li & Fung)그룹의 계열사로, 해상, 항공 및 인터모달 운송 서비스의 선도적인 글로벌 화물 운송 기업입니다. 200개 이상의 글로벌 사무소와 포워딩 에이전트와 긴밀히 연결된 글로벌 네트워크를 갖추어 고객의 화물이 전략적이고 경제적으로 운송되도록 최선을 다하고 있습니다. 통합적이고 확장 가능하며 경비 효율적인 해상, 항공, 철도, 도로 및 인터모달 운송 서비스 뿐만 아니라 CFS 창고 보관, 세관 브로커리 및 기타 공급망 솔루션(공급업체 및 주문 관리, 컨트롤 타워 서비스 등)을 제공합니다. 지능형 배송 계획 전문성으로 인해, 변화하는 상황에 적응할 수 있도록 화물 네트워크를 최적화할 수 있습니다. 우리는 도전을 즐깁니다. 끊임없이 변화하는 혼란스러운 시장에서, 높은 경험과 노하우를 가진 팀이 귀사의 비즈니스 요구에 맞춤형 최상의 서비스를 제공하여 귀사의 상품이 원활하게 이동하도록 보장합니다. 공장부터 최종 목적지까지, 우리는 출발지와 도착지를 연결하여 신뢰성 있는 화물 운송을 도와드립니다. 자세한 내용은 www.gfsmanagement.com을 방문해 주시기 바랍니다.
담당업무
화물 운송 업무 support (항공, 해상, 도로, 철도 등)
– NVOCC 또는 Ocean carrier가 될 수 있는 운송업체와 물류 계약 협상
– 청구
– 상품의 내륙 운송 어레인지
– 선하증권 등 물품의 이동에 필요한 서류준비, 통관 관련 서류, 항만 서류 등
– 해양 선박 예약 및 확인
– 승인 HBL 발행
– 화물을 철도 또는 트럭으로 항구까지 운송 어레인지
배송에 가장 적합한 경로 조사 및 계획 수립
보험 가입 및 청구 시 고객 지원
운임 및 기타 요금 납부 준비
복리후생
-퇴직연금
-설. 추석 선물
-단체보험 가입
-건강검진 년 1회 지원 (년 15만원 까지)
-새로 인테리어 된 강남위치 사무실
-수습 3개월 (급여는 동일)
-수습기간 3개월 후, 주1회 재택근무
-수습기간 3개월 후, 시차출퇴근제 (8시출근-5시퇴근 / 10시 출근-7시퇴근)
우대사항
– 물류, 포워딩업무 관련 전공
이력서 접수 방법
LFKoreaHR@lifung.com
로 이력서 접수
회사위치
06122 서울특별시 강남구 봉은사로 151, 2층 (논현동, 분데스언주)
연봉
3,300만원
2025. 12. 15
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4183
986,[인턴][hy (한국야쿠르트)](주)hy 2026년 상반기 채용연계형 인턴 모집,"2025. 12. 15
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4181
985,[인턴][뱅크샐러드] 금융서비스 채용연계형 인턴십,"당사의 인턴십 프로그램은 학생들의 취업률 제고 및 실제 취업·창업 역량 강화에 기여할 수 있을 것으로 기대합니다. 하기 내용 참고 부탁드립니다.
대상
4년제 대학 졸업예정자 및 기졸업 취업준비생
전공 무관, 금융·보험 비전공자도 참여 가능한 구조
핵심 경험
디지털 금융 실무 역량 습득 및 보험 중개 라이센스 취득
고객 접점에서 보험 상담을 통해 유저의 문제를 직접 해결
유저 금융 데이터 기반 문제 진단과 분석, 솔루션 제공
유저 분석 -> 실행 -> 성과 측정 -> 기획하는 린(Lean)한 실무 사이클 경험
혜택
중식, 석식, 카페, 스낵바 무료 지원
현업 실무자 멘토링을 통한 성장 지원
평균 연봉 4천만원 이상 금융 솔루션 전문가 정규직 전환 기회
3년 후 Product Manager, Sales Manager, CX Manager 로 확장 기회 제공
프로그램 구성
6주 교육
4개월 인턴십
인턴십 종료 이후 평가에 따라 정규직 연계 기회 부여
2025. 12. 15
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4179
984,[채용][MBC(상암)] IT 뉴스시스템(NPS) 단말관리 담당 채용,"https://recruit.mbc.co.kr/main/index
2025. 12. 12
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4177
983,[인턴][헥토이노베이션] 날씨돌 영상 콘텐츠 기획 및 제작 인턴 채용,"안녕하세요, 헥토이노베이션입니다 ​:D
“세상을 ​더 ​편리하게, 내일을 ​새롭게” 만드는 헥토이노베이션은
웹3.0시대에
정보보안 ​분야를 ​선도
하며 다양한 ​서비스를 연결하는
IT플랫폼 ​기업
입니다.
📢 우리 ​신규사업팀을 ​소개합니다.
신규사업팀은 사용자에게 ​새롭고 ​유익한 ​경험을 선사할 수 ​있는 ​서비스를 발굴하고 실행하는 ​팀입니다.
‘날씨돌’은 ​그 ​중 첫번째 프로젝트로, ​필요한 시점에 ​필요한 ​날씨 정보를 ​유쾌하게 전달하는 ​날씨 ​서비스입니다.
사용자에게 날씨 정보 ​뿐 아니라 ​작은 즐거움까지 주는 것을 미션으로 하며, 함께 날씨돌을 만들어갈 인턴을 찾습니다.
👉 함께 할 업무입니다.
날씨돌 광고, 옷차림 등의 영상 콘텐츠 기획 및 제작
기상 조건 및 트렌드에 맞는 콘텐츠 기획 및 제작
콘텐츠 소개와 관련한 서비스 일부 기획
프로모션 운영 (이벤트 관리, 당첨자 선정, 경품 발송 등)
👉 이런 분을 찾습니다.
영상 제작툴 사용이 가능하신 분 (프리미어프로, 에프터이팩트, AI 영상 제작툴 등)
👉 이런 부분도 갖추시면 너무 훌륭합니다!
트렌드에 맞는 영상 콘텐츠 기획 및 제작 경험이 있으신 분
SNS, 유튜브 콘텐츠 운영 경험이 있으신 분
👉 아래 여정을 통해 합류합니다.
경력: 서류 전형 -> 1차 인터뷰 -> 처우협의 -> 최종합격
– 접수기간 : 채용 시 마감
* 해당 공고는 수시 채용으로, 채용 완료 시 조기에 마감될 수 있습니다.
* 각 전형 안내 및 결과 안내는 모두 개별 메일로 안내해드리고 있습니다.
* 지원자의 이력 및 경력 사항에 따라 일부 전형 과정이 생략되거나 추가될 수 있습니다.
👉 지원 시 꼭 확인해 주세요.
[근무정보]
– 채용인원 : 0명
– 근로형태 : 인턴 (3개월)
– 근무장소 : 강남구 테헤란로34길 6 태광타워 헥토이노베이션 본사
[공통지원자격]
해외 여행에 결격 사유가 없는 자
남성의 경우 병역 필 또는 면제자
[제출서류]
– 자유양식의 이력서(필수)/경력기술서/포트폴리오 등을 첨부하여 제출해 주세요.
* 입사지원 서류에 허위기재 사실이 발견될 경우, 전형 진행과 입사가 취소될 수 있습니다.
* 업무와 무관한 개인정보(신체조건, 출신지역, 혼인여부 등)는 기재하지 않습니다.
* 당사 모든 모집부문 및 전형에서 국가보훈대상자 및 장애인은 관련 법령(국가유공자 등 예우 및 지원에 관한 법률, 장애인 고용촉진 및 직업재활법)에 의거 가산점을 부여하고 있습니다.
[기타사항]
– 문의처 : inno_recruit@hecto.co.kr
2025. 12. 12
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4176
982,[채용][삼화페인트공업(주)] 신입/경력사원 채용,"회사명 : 삼화페인트공업
공고명 : 신입/경력 채용
지원 자격
– 4년제 대학 졸업(계열사의 경우 전문학사 졸업 이상) 또는 2026년 2월 졸업예정자
– 원활한 의사소통 능력 소유자 및 Ms Office 활용 가능자
– 해외여행에 결격사유가 없는 자
– 국가보훈대상자 및 장애인은 관련 법령에 의거하여 우대
접수 방법
채용사이트 접수
:
https://samhwapaint.career.
greetinghr.com/ko/apply
접수 기간
2025년 12월 10일 – 2025년 12월 24일 23:59
문의처
samhwa.hr@samhwa.com
2025. 12. 12
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4174
981,[인턴][동국씨엠] 2025 인턴/경력사원 채용,"2025. 12. 12
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4169
980,[채용][경농] 2026년 상반기 신입사원 채용,"2025. 12. 12
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4168
979,[채용][아머스포츠코리아] 26년도 신입사원 채용,"https://amersportskorea.recruiter.co.kr/career/home
2025. 12. 09
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4147
978,[인턴][헤일리온코리아] 영업관리 인턴 (1Y) 채용,"– GSK
와 화이자의 합작 기업인 소비자 건강 사업 부문은 헤일리온(Haleon)이라는 새로운 명칭으로 2022년 7월부터 독립 상장(분사) 되었습니다.
이번 헤일리온의 상장은 최근 10년 간 유럽에서 가장 큰 상장으로 기록되었으며, 이번 상장으로 센소다인 치약 및 유명 진통제인 애드빌을 보유한 세계 최대의 독립형 소비자 건강 사업 기업이 되었습니다.
[
모집분야 및 업무내용]
* 포지션 : Sales Development & Administration 인턴
* 업무내용
SAP를 활용한 Sales Order 전송 업무.
코스트코 납품 일정 관리 및 Order 관리.
매출 자료 집계 KAM 요청 자료 응대.
이마트, 롯데마트, 올리브영 등 거래처 EDI 사이트 접속 및 관리.
재고 유통기한 임박 제품 필터링.
SD&A manager 업무지원.
[
자격요건]
– 대학교 재학 및 휴학생
(
기졸업생 불가 / 수료생, 졸업예정자 가능)
– 업무상 영어 활용 가능자
– Attitude 좋고, 열심히 배우려는 의지 있으신 분
– MS Office 활용 가능자
– 영업 지원/관리 경험자 우대
[
근무조건]
– 근무기간: 최소 6개월 ~ 1년 (1년 근무 가능자 우선 선발)
– 고용형태: 맨파워코리아 소속 파견계약직 (경력증명서 발급 가능)
– 급여조건: 월 2,096,270원 (세전)
– 근무위치: 서울 용산구 신용산역 LS 용산타워 GSK CH(Haleon) 본사
– 근무요일: 월-금
– 근무시간: 09:00-18:00 (휴게시간 1시간 포함, 부서별 재택근무 실시 중)
– 복리후생: 4대 보험, 연차, 연차수당, OT수당, 경조금 및 경조휴가, 생일축하금, 근로자의 날 상여금, 명절 상여금, 제휴 호텔 할인, 화상영어 제휴 할인, 경조 휴가/경조금, 우수사원 시상 등
[
지원방법]
이메일 지원:
brian.kim@manpower.co.kr
[제약_영업관리/후보자 이름]으로 서류 전달 부탁드립니다.
홈페이지 지원:
https://manpowergroupkorea.ninehire.site/job_posting/E5ISXw5i
2025. 12. 09
진  로  취  업  처  장",https://job.skuniv.ac.kr/?p=4146
